AnonRef,Gender, Standard TV , Increase offered , Total Enhanced TV Offer ,Enhancement %, Age at offer ,NUTS3, TP Liability , Buyout Liability , Accounting Liability , Retirement Quote ,Month of Offer,B.6g Gross Disposable Income,Acceptances Received
ANON5697,M,203531,20353,223884,10,42.33,UKH15,337467,472574,241554,8452,November,15890.23828,N
ANON5698,M,154553,16347,170900,11,49.75,UKJ37,241097,316072,179878,6134,November,19265.12109,N
ANON5699,F,63646,9654,73300,15,51.42,UKH15,93385,114605,72640,2279,November,15890.23828,N
ANON5700,M,43040,4304,47344,10,44.75,UKH15,71363,99934,51081,1787,November,15890.23828,N
ANON5701,M,170223,17022,187245,10,46.83,UKH14,265542,348119,198116,6756,November,17015.03906,N
ANON5702,F,23628,2363,25991,10,56.25,UKH15,32597,37453,26445,762,November,15890.23828,N
ANON5703,M,56097,14103,70200,25,49.92,UKH15,87509,114722,65289,2227,November,15890.23828,Y
ANON5704,F,81573,8157,89730,10,45.83,UKH15,127251,166823,94939,3238,November,15890.23828,N
ANON5705,F,67096,20129,87225,30,54.92,UKH15,98447,120818,76578,2402,November,15890.23828,N
ANON5706,M,187763,56329,244092,30,55.67,UKC21,259034,297623,210150,6057,November,17370.44531,N
